Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
09/08/06,103-5759328-9435806,"Tough Jews : Fathers, Sons, and Gangster Dreams",ABIS_BOOK,375705473,55101500,Amazon.com,1999-04-20T00:00:01,,Amazon.com,,$13.95,$11.16,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/13/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$11.16,$0.00,$11.16,,,,Mayor McCheese,USD,
09/08/06,103-5759328-9435806,The Best American Crime Writing: 2003 Edition: The Year's Best True Crime Reporting,ABIS_BOOK,375713018,55101500,Amazon.com,2003-08-19T00:00:01,,Amazon.com,,$15.00,$10.50,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/12/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$10.50,$0.00,$10.50,,,,Mayor McCheese,USD,
09/08/06,103-5759328-9435806,The Best American Crime Writing: 2004 Edition: The Year's Best True Crime Reporting,ABIS_BOOK,375713026,55101500,Amazon.com,2004-08-10T00:00:01,,Amazon.com,,$17.14,$11.66,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,10/03/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$11.66,$0.00,$11.66,,,,Mayor McCheese,USD,
09/08/06,103-5759328-9435806,Autobiography of a Brown Buffalo,ABIS_BOOK,679722130,55101500,Amazon.com,1989-07-17T00:00:01,,Amazon.com,,$12.95,$10.36,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/12/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$10.36,$0.00,$10.36,,,,Mayor McCheese,USD,
09/08/06,103-5759328-9435806,"Rothstein: The Life, Times, and Murder of the Criminal Genius Who Fixed the 1919 World Series",ABIS_BOOK,786712503,55101500,Amazon.com,2003-08-25T00:00:01,,Amazon.com,,$27.00,$18.36,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/12/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$18.36,$0.00,$18.36,,,,Mayor McCheese,USD,
09/08/06,103-5759328-9435806,In Like Flint / Our Man Flint Soundtracks,ABIS_MUSIC,B000007Q7M,55111512,Amazon.com,1967-03-15T00:00:01,,Amazon.com,,$16.98,$16.98,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/12/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$16.98,$0.00,$16.98,,,,Mayor McCheese,USD,
09/08/06,103-8537761-6267815,Apples to Apples Party Crate Card Game,TABLETOP_GAME,B00008W72Q,60141100,Amazon.com,,,Fat Brain Toys,,$29.99,$25.84,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/09/06,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$25.84,$0.00,$25.84,,,,Mayor McCheese,USD,
02/28/07,002-7788975-7724818,Sneakier Uses for Everyday Things (Volume 2) (Sneaky Books),ABIS_BOOK,740754963,55101500,Amazon.com,2005-10-01T00:00:01,,Amazon.com,,$10.95,$8.76,1,Gift Certificate/Card,,,jon@nozama.dev,02/28/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$8.76,$0.00,$8.76,,,,Mayor McCheese,USD,
02/28/07,002-7788975-7724818,"How to Cheat at Everything: A Con Man Reveals the Secrets of the Esoteric Trade of Cheating, Scams, and Hustles",ABIS_BOOK,1560259736,55101500,Amazon.com,2007-01-01T00:00:01,,Amazon.com,,$18.95,$12.89,1,Gift Certificate/Card,,,jon@nozama.dev,02/28/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$12.89,$0.00,$12.89,,,,Mayor McCheese,USD,
02/28/07,002-7788975-7724818,Ultra Running With Scott Jurek (Robbie Readers),ABIS_BOOK,1584154845,55100000,Amazon.com,2006-10-04T00:00:01,,Amazon.com,,$16.95,$11.53,1,Gift Certificate/Card,,,jon@nozama.dev,02/28/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$11.53,$0.00,$11.53,,,,Mayor McCheese,USD,
02/28/07,002-7788975-7724818,Renegade,PHYSICAL_MOVIE,B0002XNSZ4,55111514,Amazon.com,2004-11-02T00:00:01,,Amazon.com,,$14.94,$12.49,1,Gift Certificate/Card,,,jon@nozama.dev,02/28/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$12.49,$0.00,$12.49,,,,Mayor McCheese,USD,
08/31/07,105-2600158-5660435,Infrastructure: The Book of Everything for the Industrial Landscape,ABIS_BOOK,393329593,55101500,Amazon.com,2006-09-17T00:00:01,,Amazon.com,,$35.00,$23.10,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/02/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$23.10,$0.00,$23.10,,,,Mayor McCheese,USD,
08/31/07,105-2600158-5660435,Favorite Brand Name 4 Ingredient Cookbook,ABIS_BOOK,785351612,55100000,Amazon.com,2003-02-01T00:00:01,,Amazon.com,,$15.98,$15.98,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/02/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$15.98,$0.00,$15.98,,,,Mayor McCheese,USD,
08/31/07,105-2600158-5660435,How to Pick Pockets for Fun and Profit: A Magician's Guide to Pickpocket Magic (Magician's Guide to Pickpocketing),ABIS_BOOK,941599183,55101500,Amazon.com,2014-08-14T00:00:01,,Amazon.com,,$8.00,$8.00,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/02/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$8.00,$0.00,$8.00,,,,Mayor McCheese,USD,
08/31/07,105-2600158-5660435,A Field Guide to Roadside Technology,ABIS_BOOK,1556526091,55101500,Amazon.com,2006-06-01T00:00:01,,Amazon.com,,$14.95,$11.21,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,09/02/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$11.21,$0.00,$11.21,,,,Mayor McCheese,USD,
08/31/07,105-2600158-5660435,Runner's World,MAGAZINES,B00005NIOR,55101506,Amazon.com,,,Amazon.com,,$54.00,$20.00,0,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,,UPS(69696969696969),$0.00,$0.00,$0.00,,,,Mayor McCheese,USD,
12/28/07,102-8614564-4359432,"ASUS Eee PC 4G (7-Inch Display, Intel Mobile Processor, 512 MB RAM, 4 GB Hard Drive, Linux Preloaded) Galaxy Black",NOTEBOOK_COMPUTER,B000YEMKGY,43211500,Amazon.com,,,Amazon.com,,$399.99,$399.99,1,Visa - 9717 and Gift Certificate/Card,,,jon@nozama.dev,12/28/07,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$399.99,$0.00,$399.99,,,,Mayor McCheese,USD,
01/10/08,103-8836217-6401852,World War Z: An Oral History of the Zombie War,ABIS_BOOK,307346617,55101500,Amazon.com,2007-10-16T00:00:01,,Amazon.com,,$14.95,$10.17,1,Visa - 9828,,,jon@nozama.dev,01/11/08,Ronald McDonald,9102 BETHEL ST NE,,OLYMPIA,WA,98506,Shipped,UPS(69696969696969),$10.17,$0.85,$11.02,,,,Mayor McCheese,USD,
01/10/08,103-8836217-6401852,The Zombie Survival Guide: Complete Protection from the Living Dead,ABIS_BOOK,1400049628,55101500,Amazon.com,2003-09-16T00:00:01,,Amazon.com,,$13.95,$11.16,1,Visa - 9828,,,jon@nozama.dev,01/11/08,Ronald McDonald,9102 BETHEL ST NE,,OLYMPIA,WA,98506,Shipped,UPS(69696969696969),$11.16,$0.95,$12.11,,,,Mayor McCheese,USD,
01/10/08,103-8836217-6401852,Idiocracy,PHYSICAL_MOVIE,B000K7VHOG,55111514,Amazon.com,2007-01-09T00:00:01,,Amazon.com,,$19.98,$14.99,1,Visa - 9828,,,jon@nozama.dev,01/11/08,Ronald McDonald,9102 BETHEL ST NE,,OLYMPIA,WA,98506,Shipped,UPS(69696969696969),$14.99,$1.25,$16.24,,,,Mayor McCheese,USD,
11/04/08,105-4908944-5160200,Honest Signals: How They Shape Our World (MIT Press),ABIS_BOOK,262162563,55101500,Amazon.com,2008-08-15T00:00:01,,Amazon.com,,$22.95,$15.61,1,Visa - 9667,,,jon@nozama.dev,11/05/08,Mayor McCheese,928 E Fillmore St,,Tempe,AZ,85281,Shipped,UPS(69696969696969),$15.61,$0.00,$15.61,,,,Mayor McCheese,USD,
